Бренд,Номер горячей линии,Сайт
ACER,8-800-700-22-37,https://www.acer.com/ac/ru/RU/content/service-centers
AKPO,,https://akpo-russia.ru/about/contacts/
Alcatel,8-800-555-65-95,https://www.alcatelmobile.com/ru/support/
AND,8-800-200-03-80,http://and-rus.ru/service/address
APPLE,8-800-333-51-73,https://support.apple.com/ru-ru
ARDO,,http://ardo-rus.ru/service
"ARISTON (Водонагреватели, бойлеры, газовые котлы)",8-800-777-33-00,https://ariston-pro.com/ru/
Artel,8-800-600-88-83,https://artelstore.ru/servisnye-tsentry/
Ascoli,8-800-302-36-12,https://ascolikitchen.ru/places/service-centres/
ASKO,8-800-707-08-07,https://ru.asko.com/service-home-appliances
ASUS,8-800-100-27-87,https://www.asus.com/ru/support/service-center/russia
ATLANT,,https://atlant.by/support/services/ru/
Avex,8 800 700 12 25,https://avex-bt.ru/service/web/
Ballu,8 800 500 07 75,https://www.ballu.ru/service/
BBK,8-800 200-40-08,http://www.bbk.ru/support/service_centers/
BEKO,8-800-200-23-56,https://beko.ru/company/support
BLAUPUNKT,8-800-302-09-89,https://blaupunkt.com/c_ru/
BORK,8-800-500-88-99,https://www.bork.ru/support/
BOSCH,8-800-200-29-61,https://www.bosch-home.ru/servis/remont-i-obsluzhivanie/servisnye-centry
Braun,8-800-301-30-23,https://www.service.braun.com/ru/ru/service.html
BROTHER,8-800-700-08-09,https://www.brother.ru/service-centres
CANON,"8-800-200-82-26, 8-800-500-18-78",https://www.canon.ru/business/b2b-service-locator/
Centek,,https://centek.ru/servis
COLD VINE,8-800-500-61-80,https://coldvine.com/garantija-i-remont
Darina,8-800-775-80-78,https://www.darina.su/service/
De luxe,8-800-100-86-80,https://deluxetm.com/
DELL,,https://www.dell.com/downloads/emea/services/ru/ru/ru_independent_dasp_list.pdf
DELONGHI,8-800-500-62-85,https://www.delonghi.com/ru-ru/customer-support/service-locator
DENZEL,8-800-101-03-59,https://denzel-power.com/garantiya/
D-Link,8-800-700-54-65,http://www.dlink.ru/ru/contacts/
Don (холодильники),,http://don-frost.ru/servis
DYSON,8-800-100-10-02,
ECON,8-800-201-21-45,https://econ.su/services/
ELECTROLUX,8-800-444-44-48,https://www.electrolux.ru/support/
ELECTROLUX(сплит системы/водонагреватели),8-800-500-07-75,https://home-comfort.ru/support/service/
ELIKOR,8-800-555-12-55,https://elikor.com/services/
EPSON,8-800-100-64-20,https://www.epson.ru/support/service/
Flama,,https://www.flama-group.ru/centers/
Fornelli,8-800-700-54-79,https://fornelli.ru/customer/service.php
Frostor,8-800-775-09-08,https://frostor.ru/warranty-service/
FUNAI,8-800-333-22-61,https://funai-air.ru/support
Gefest,8-10-800-2010-44-44,https://gefest.com/support/servisnye-tsentry/rossiyskaya-federatsiya.php
GINZZU,,https://ginzzu.ru/?controller=information&id=302&lang=ru
GORENJE,8-800-700-05-15,https://ru.gorenje.com/find-a-dealer
GREEN,,http://greenclimat.ru/page2209547.html
Haier,8-800-250-43-05,https://haieronline.ru/terms/service/
Hansa,8-800-700-36-61,https://www.hansa.ru/services/
Highscreen,,https://hs-store.ru/service/
Hisense (Климатическое оборудование),8-800-505-25-50,https://ru.hisense.com/support/
Hisense (Смартфоны),8-800-505-05-70,https://ru.hisense.com/support/
"Hisense (ТВ, Холодильное оборудование, Стиральные машины)",8-800-510-99-99,https://ru.hisense.com/support/
HITACHI,8-800-333-9-220,https://www.hitachi.ru/ru/hitachi-v-rossii
homsair,8-800-700-91-37,https://www.homsair.ru/podderzhka/
HONOR,8-800-700-16-77,https://www.honor.ru/support/
Hoover,8-800-707-02-04,https://www.hoover.ru/ru_RU/servisnaya-podderzhka
HOTPOINT-ARISTON,"8-800-333-38-87, 8-800-100-57-31",https://www.whirlpoolgroup.ru/service
HP,8-800-700-35-20,https://support.hp.com/ru-ru/service-center
HTC,8-800-200-48-20,http://htc-service.ru/addresses
HUTER,8-800-555-83-20,http://tdhuter.ru/service/
HYUNDAI,,https://hyundai-electronics.com.ru/support/service/
INDESIT,"8-800-333-38-87, 8-800-100-57-31",https://www.whirlpoolgroup.ru/service
Jacky's,8-800-100-31-55,https://www.jackys-shop.ru/service-center.html
KENWOOD,8-800-200-52-62,http://www.kenwood-rus.ru/support/service/
KITFORT,8 800 775-56-87,https://kitfort.ru/
KIVI,8-800-600-10-15,http://kivismart.ru/support-center
Körting,8-800-550-78-62,https://korting.ru/support/
KRAFT,8-800-200-79-97,https://kraftltd.com/service-and-support/avtorizovannye-servisnye-centry/
KRONA,8-800-700-85-46,https://krona.ru/service/centre/
Kuppersberg,8-800-250-17-18,https://kuppersberg.ru/services/
LENOVO,8-800-100-78-88,https://www.lenovo.com/ru/ru/services-cts/
LEX,8-800-700-86-24,https://lex1.ru/servisnye-centry/
LG,8-800-200-76-76,https://www.lg.com/ru/support/repair-warranty/locate-repair-center
Liebherr,8-800-100-34-55,https://home.liebherr.com/ru/rus/ru/сервис/сервисная-служба/сервисная-служба.html
LUXDORF,,http://luxdorf.ru/podderjka
Maunfeld,8-800-700-91-37,https://www.maunfeld.ru/garantiya-i-servis#service-centers
MAXIMA,8-800-200-77-51,http://maxima-rus.com/services/index.php
MBS,8-800-333-15-92,http://mbskitchen.ru/servisnye-centry.html
Midea,8-800-777-00-88,https://www.midea.com/ru/support
Mitsubishi Electric,,https://www.mitsubishi.ru/contacts/service/
MONSHER,,https://monsherrus.ru/for-clients/services/
MOULINEX,,https://www.moulinex.ru/Сервисные-центры/контакты
MSI,8-800-700-77-08,https://ru.msi.com/support
MYSTERY,8-800-100-46-80,http://mysteryelectronics.ru/servis-centri
NAVIEN,8-800-505-10-05,https://www.navien.ru/service/servisnye-centry
NAVITEL,8-495 787-66-80,https://navitel.ru/ru/devices/service-center
NIKON,,https://www.nikon.ru/ru_RU/service_support/local_content_ser_centres.page
NORDFROST,8-800-700-12-25,https://www.nord-inter.ru/service-centres/
Optima,8-800-222-73-62,https://www.optima-dv.ru/
PANASONIC,8-800-200-21-00,https://rus.panasonic.ru/serviceshops/network/
PHILIPS,8-800-200-08-80,https://www.service.philips.ru/Home/Choice
PHILIPS (TV),8-800-220-00-04,https://www.service.philips.ru/Home/Choice
PIONEER,8-800-200-89-01,https://www.pioneer-rus.ru/поддержка/сервисные-центры
Polaris,8-800-700-11-78,https://www.polar.ru/buyers/service/#city-495/country-RUS/q-
Pozis,,https://pozis.ru/podderzhka/pokupatelyam/servis/
Realme,8-800-707-25-75,https://www.realme.com/ru/support
Redmond,8-800-200-77-41,https://redmond.company/ru/support/services.php?popup_shown=Y
RENOVA,8-800-200-46-36,http://www.re-nova.com/services/services_list.php
ROYAL Clima,,http://royal.ru/support/
ROYAL PREMIUM,,http://royal-premium.ru/#service
SAMSUNG,8-800-555-55-55,https://www.samsung.com/ru/support/servicelocation/
SCANDILUX,8-800-100-31-55,https://www.scandilux-shop.ru/service-center.html
SCHAUB LORENZ,8-800-350-14-01,https://schaublorenz.ru/support
SHARP,,https://www.sharp.ru/cps/rde/xchg/ru/hs.xsl/-/html/poisk-servisnyh-centrov.htm
Shindo,8-800-700-93-67,https://shindodomestic.ru/service/centre/
Simfer,,https://simfershop.ru/services-new/
SONY,8-800-200-76-67,https://www.sony.ru/electronics/support/articles/00093575
STINOL,"8-800-333-38-87, 8-800-100-57-31",https://www.whirlpoolgroup.ru/service
Supra,8-800-201-21-45,https://www.supra.ru/support/
TCL,,https://tcl.com.ru/support/service/
TEFAL,,https://www.tefal.ru/отдел-по-работе-с-клиентами/ремонт
Tesler,,http://tesler-electronics.ru/service_centers
Texet,8-800-333-10-12,http://www.texet.ru/support/services
THERMEX,8-800-333-00-23,https://thermex.ru/contacts/
Timberk,,https://www.timberk.ru/service/centers/
TOSHIBA,8-800-510-99-99,http://www.toshiba.ru/service/
Tp-Link,8-800-250-55-60,https://www.tp-link.com/ru/support/service-center/
Vestel,,http://vestlremservice.ru/garantiya/
Vestfrost,,https://vestfrost.ru/about/service-center/
VIEWSONIC,,https://www.viewsonic.com/ru/support/call-desk/russia
Vitek,8-800-100-18-30,https://vitek.ru/services/servisnye-tsentry/
Weissgauff,,https://www.weissgauff.ru/menu_6/servis_i_garantiya.html
Whirlpool,"8-800-333-38-87, 8-800-100-57-31",https://www.whirlpoolgroup.ru/service
WINIA,,https://winia.ru/service/services/
XBOX,8-800-200-80-01,https://support.xbox.com/ru-RU/
Xerox,8-800-700-88-82,https://www.xerox.ru/support_and_drivers/how-to-find-service-partner/
Xiaomi,8-800-222-26-79,https://www.mi.com/ru/service/repair/
Xiaomi (ТВ),8-800-775-66-15,
Zanussi,8-800-444-44-48,https://www.zanussi.ru/support/service-centre-locator/
Zarget,,https://zarget.ru/servisnye-tsentry/
Zigmund&Shtain,8-800-555-66-93,https://zigmundshtain-rus.com/service
Бирюса,8-800-250-00-14,https://www.biryusa.ru/service.php
ДОН,,http://don-frost.ru/servis
КАРКАМ,8-495-212-15-30,https://carcam.ru/service/
Лысьва,,https://lzbt.ru/servisnie-centri
Марина М,,http://marina16.ru/
Сandy,8-800-707-02-04,https://www.candy-home.com/ru_RU/avtorizovannykh-servisnykh-tsentrov/
Саратов,8-800-700-85-75,https://sepo.ru/service/
Фея,,http://www.feya-bt.ru/article_76.html
Чистый Воздух,8-800-500-05-28,https://recuperatorpro.ru/pokupatelyam/garantiya/
